Document Title,Authors,Publication Year,PDF Link,Implementation?,Abstract Summary
Graph Neural Networks for Decentralized Multi-Robot Path Planning,Q. Li; F. Gama; A. Ribeiro; A. Prorok,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341668,NO,"Our architecture is composed of a convolutional neural network (CNN) that extracts adequate features from local observations, and a graph neural network (GNN) that communicates these features among robots. To side-step these issues and move beyond hand-crafted heuristics, we propose a combined model that automatically synthesizes local communication and decision-making policies for robots navigating in constrained workspaces."
Minimum k-Connectivity Maintenance for Robust Multi-Robot Systems,W. Luo; K. Sycara,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8968058,NO,"While most of the existing works focus on connectivity control that ensures robotic team remain connected as one component without faults, we consider the problem of robust connectivity maintenance that seeks to maintain k-connectivity, such that the multi-robot network could stay connected with the removal of fewer than k robots. Particularly, we propose a k-Connected Minimum Constraints Subgraph (k-CMCS) algorithm that activates the minimum k-connectivity constraints to the original controllers, and then revise the original controllers in a minimally invasive fashion."
Coverage Control for Multi-Robot Teams with Heterogeneous Sensing Capabilities Using Limited Communications,M. Santos; M. Egerstedt,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594056,NO,"With this information, a robot can determine which of its neighbors it should coordinate with to cover the environmental features in a region while ignoring robots that are not equipped with that particular sensory capability. Unlike previous approaches to the problem of coverage for teams with heterogeneous sensing capabilities, in this paper the robots have access to information about their neighbors' specific sensor modalities."
DeepMNavigate: Deep Reinforced Multi-Robot Navigation Unifying Local & Global Collision Avoidance,Q. Tan; T. Fan; J. Pan; D. Manocha,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341805,NO,"We use a three-layer CNN that takes these maps as input to generate a suitable action to drive each robot to its goal position. Our approach is general, learns an optimal policy using a multi-scenario, multi-state training algorithm, and can directly handle raw sensor measurements for local observations."
Multi-Robot Virtual Structure Switching and Formation Changing Strategy in an Unknown Occluded Environment,D. Roy; A. Chowdhury; M. Maitra; S. Bhattacharya,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594438,NO,"The shrinking phenomena of the virtual circle will depend upon the number of agents within the circle and the distance between two the nearest obstacles sensed by the agents through which the swarm should be able to pass. To make the inter-agent formation flexible inside the newly formed virtual structure, a spanning-tree-assisted-shape-matching algorithm has been employed for accommodating all the agents inside the virtual region which helps in the formation change in the agents as well."
Learning Safe Unlabeled Multi-Robot Planning with Motion Constraints,A. Khan; C. Zhang; S. Li; J. Wu; B. Schlotfeldt; S. Y. Tang; A. Ribeiro; O. Bastani; V. Kumar,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8968483,NO,"In contrast with previous works, which formulate an entirely new hand-crafted optimization cost or trajectory generation algorithm for a different robot dynamic model, our framework is a general approach that is applicable to arbitrary robot models. Further, by using the velocity obstacle, we devise a smooth projection that guarantees collision free trajectories for all robots with respect to their neighbors and obstacles."
Optimal Temporal Logic Planning for Multi-Robot Systems in Uncertain Semantic Maps,Y. Kantaros; G. J. Pappas,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8968547,NO,"The goal of the robots is to accomplish complex collaborative high level tasks captured by global temporal logic specifications in the presence of uncertainty in the workspace. Specifically, the robots operate in an unknown environment modeled as a semantic map determined by Gaussian distributions over landmark positions and arbitrary discrete distributions over landmark classes."
Adaptive Informative Sampling with Environment Partitioning for Heterogeneous Multi-Robot Systems,Y. Shi; N. Wang; J. Zheng; Y. Zhang; S. Yi; W. Luo; K. Sycara,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341711,NO,"To utilize heterogeneity of the system while remaining computationally tractable, we propose an environmental partitioning approach that leverages various robot capabilities by forming a uniformly defined heterogeneity cost space. Heterogeneous robot systems are able to utilize various types of robots and provide solutions where robots are able to compensate each other with their different capabilities."
With Whom to Communicate: Learning Efficient Communication for Multi-Robot Collision Avoidance,Á. Serra-Gómez; B. Brito; H. Zhu; J. J. Chung; J. Alonso-Mora,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341762,NO,"We evaluate and verify the proposed communication strategy in simulation with four quadrotors and compare it with three baseline strategies: non-communicating, broadcasting and a distance-based method broadcasting information with quadrotors within a predefined distance. Decentralized multi-robot systems typically perform coordinated motion planning by constantly broadcasting their intentions as a means to cope with the lack of a central system coordinating the efforts of all robots."
Multi-Robot Coverage and Exploration using Spatial Graph Neural Networks,E. Tolstaya; J. Paulos; V. Kumar; A. Ribeiro,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9636675,NO,"Then, we train a Graph Neural Network controller that leverages the spatial equivariance of the task to imitate an expert open-loop routing solution. The multi-robot coverage problem is an essential building block for systems that perform tasks like inspection, exploration, or search and rescue."
Understanding Multi-Robot Systems: on the Concept of Legibility,B. Capelli; V. Villani; C. Secchi; L. Sabattini,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8968023,NO,"Legibility is relatively little investigated in multi-robot systems, but, in the literature, studies exist where the trajectory of manipulators is analyzed as a factor to improve the collaboration between robots and users. The data for the statistical analysis cover a full factorial plan and they were collected in a virtual reality set-up, where the users shared the environment with a group of robots."
Meeting-Merging-Mission: A Multi-robot Coordinate Framework for Large-Scale Communication-Limited Exploration,Y. Gao; Y. Wang; X. Zhong; T. Yang; M. Wang; Z. Xu; Y. Wang; Y. Lin; C. Xu; F. Gao,2022,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9981544,NO,"For lower bandwidth, each robot uses specific polytopes to maintain free space and to generate Super Frontier Information (SFI), which serves as the source for exploration decision-making. Considering communication is limited in both bandwidth and range in the real world, we propose a lightweight environment presentation method and an efficient cooperative exploration strategy."
Decentralised Self-Organising Maps for Multi-Robot Information Gathering,G. Best; G. A. Hollinger,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341106,NO,"Simulation results in two settings, including an infrastructure inspection scenario with a real-world dataset of oil rigs, demonstrate that Dec-SOM outperforms baseline methods and other SOM variants, is competitive with centralised SOM, and is a viable solution for decentralised information gathering. We propose a decentralised variant of the self-organising map (SOM) learning procedure, named Dec-SOM, which efficiently plans sequences of waypoints for a team of robots."
Combining Stochastic Optimization and Frontiers for Aerial Multi-Robot Exploration of 3D Terrains,A. Renzaglia; J. Dibangoye; V. L. Doze; O. Simonin,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8968512,NO,"Whenever a local optimum is reached, which corresponds to a location surrounded by already explored areas, the algorithm identifies the closest frontier to get over it and restarts the local optimization. Furthermore, in terms of exploration time, our algorithm significantly outperforms a standard solution based on closest frontier points while providing similar performances compared to a computationally more expensive centralized greedy solution."
SEAR: A Polynomial- Time Multi-Robot Path Planning Algorithm with Expected Constant-Factor Optimality Guarantee,S. D. Han; E. J. Rodriguez; J. Yu,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594417,NO,"For an arbitrary number of robots in arbitrary initial and goal arrangements, we derive a polynomial time, complete algorithm that produces solutions with constant-factor optimality guarantees on both makespan and distance optimality, in expectation, under the assumption that the robot labels are uniformly randomly distributed. Our algorithm only requires a small constant-factor expansion of the initial and goal configuration footprints for solving the problem, i.e., the problem can be solved in a fairly small bounded region."
On the Use of Energy Tanks for Multi-Robot Interconnection,G. Riggio; C. Fantuzzi; C. Secchi,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594262,NO,"In this paper, we exploit the concept of energy tank for building a novel generalized interconnection that allows to impose any kind of dynamic coupling between two passive systems in a flexible way while preserving the passivity of the overall coupled system. In multi-robot systems passive interconnections among agents are often exploited to achieve a desired and robustly stable cooperative behavior."
MAMBPO: Sample-efficient multi-robot reinforcement learning using learned world models,D. Willemsen; M. Coppola; G. C. H. E. de Croon,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9635836,NO,"Multi-robot systems can benefit from reinforcement learning (RL) algorithms that learn behaviours in a small number of trials, a property known as sample efficiency. We demonstrate this on two simulated multi-robot tasks, where MAMBPO achieves a similar performance to MASAC, but requires far fewer samples to do so."
Lightweight Multi-robot Communication Protocols for Information Synchronization,M. Alsayegh; A. Dutta; P. Vanegas; L. Bobadilla,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341480,NO,"Due to potential real-world constraints, such as limited bandwidth and contested scenarios, a communication strategy requiring to send, for example, all n bits of an environment representation might not be feasible in situations where the robots' data exchanges are frequent and large. Simulation results show that the proposed method is computationally fast and enables the robots to synchronize the data (near) accurately while exchanging significantly smaller amounts of information (in the order of log n bits)."
Clone Swarms: Learning to Predict and Control Multi-Robot Systems by Imitation,S. Zhou; M. J. Phielipp; J. A. Sefair; S. I. Walker; H. B. Amor,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8967824,NO,"In this paper, we propose SwarmNet - a neural network architecture that can learn to predict and imitate the behavior of an observed swarm of agents in a centralized manner. We compare our model to previous approaches for modelling interaction systems and show how modifying components of other models gradually approaches the performance of ours."
Iterative Refinement for Real-Time Multi-Robot Path Planning,K. Okumura; Y. Tamura; X. Défago,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9636071,NO,"Our proposal uses a sub-optimal MAPF solver to obtain an initial solution quickly, then iterates the two procedures: 1) select a subset of agents, 2) use an optimal MAPF solver to refine paths of selected agents while keeping other paths unchanged. Iterative refinement for MAPF is desirable for three reasons: 1) optimization is intractable, 2) sub-optimal solutions can be obtained instantly, and 3) it is anytime planning, desired in online scenarios where time for deliberation is limited."
Multi-robot Coordination with Agent-Server Architecture for Autonomous Navigation in Partially Unknown Environments,L. Bartolomei; M. Karrer; M. Chli,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341367,NO,"Leveraging this architecture, computation-ally demanding tasks, such as global dense mapping and global path planning can be outsourced to a potentially powerful central server, limiting the onboard computation for each agent to local pose estimation using Visual-Inertial Odometry (VIO) and local path planning for obstacle avoidance. In contrast to previous works, here we relax the common assumption of a previously mapped environment and perfect knowledge about the state, and we show the effectiveness of the proposed approach in photo-realistic simulations with up to four agents operating in an industrial environment."
A modified Hybrid Reciprocal Velocity Obstacles approach for multi-robot motion planning without communication,M. Sainte Catherine; E. Lucet,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341377,NO,"The proposed solution is a modification of the Hybrid Reciprocal Velocity Obstacles (HRVO) combined with a tracking error estimation, in order to adapt the Velocity Obstacle paradigm to agents with kinodynamic constraints and unreliable velocity estimates. This solution, evaluated in simulation and in real test scenario with three dynamic unicycle type robots, shows an improvement over HRVO."
Dense Decentralized Multi-robot SLAM based on locally consistent TSDF submaps,R. Dubois; A. Eudes; J. Moras; V. Frémont,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341680,NO,"This method makes robots jointly build and exchange i) a collection of 3D dense locally consistent submaps, based on a Truncated Signed Distance Field (TSDF) representation of the environment, and ii) a pose-graph representation which encodes the relative pose constraints between the TSDF submaps and the trajectory keyframes, derived from the odometry, inter-robot observations and loop closures. This article introduces a decentralized multi-robot algorithm for Simultaneous Localization And Mapping (SLAM) inspired from previous work on collaborative mapping [1]."
Multi-Robot Joint Visual-Inertial Localization and 3-D Moving Object Tracking,P. Zhu; W. Ren,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341393,NO,"For localization, we propose a multi-robot visual-inertial navigation systems (VINS) where one robot builds a prior map and then the map is used to bound the long-term drifts of the visual-inertial odometry (VIO) running on the other robots. In this paper, we present a novel distributed algorithm to track a moving object's state by utilizing a heterogenous mobile robot network in a three-dimensional (3-D) environment, wherein the robots' poses (positions and orientations) are unknown."
YouWasps: Towards Autonomous Multi-Robot Mobile Deposition for Construction,J. Sustarevas; K. X. Benjamin Tan; D. Gerber; R. Stuart-Smith; V. M. Pawar,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8967766,NO,"Altogether, these results provide a foundation for future work that enable fleets of mobile construction systems to cooperate and help us shape our built environment in new ways. In doing so, we are able to evaluate the potential for parallelization of tasks and printing autonomy in simulation as well as physical team of robots."
Multi Robot Route Planning (MRRP): Extended Spatial-Temporal Prioritized Planning,B. Binder; F. Beck; F. König; M. Bader,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8968465,NO,"More importantly, however, our method calculates routes for each vehicle with inter-vehicle synchronization, enabling vehicles to execute the plan in a distributed fashion without centralized control, thereby allowing autonomous behavior. The scientific contribution of this paper is a novel approach, based on prioritized planning to target this issue as well as an open source framework for evaluation and comparison."
A Workbench for Quantitative Comparison of Databases in Multi-Robot Applications,R. Ravichandran; E. Prassler; N. Huebel; S. Blumenthal,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594241,NO,"This work presents three main contributions: (a) structures for benchmarking scenarios with a focus on networked multi-robot architectures, (b) an extensible workbench for benchmarking databases for different scenarios that makes use of Docker containers and (c) a comparison of existing databases given a set of multi-robot use cases to showcase the usage of the framework. Such data can be written into log files, but these files lack the querying features and scaling capabilities of modern databases - especially when dealing with multi-robot systems, where the trade-off between availability and consistency has to be resolved."
LegoBot: Automated Planning for Coordinated Multi-Robot Assembly of LEGO structures,L. Nägele; A. Hoffmann; A. Schierl; W. Reif,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341428,NO,"Although the approach is both motivated and evaluated with LEGO, which is a challenging variant of blocks world, the approach can be customized to different kinds of assembly domains. Multi-functional cells with cooperating teams of robots promise to be flexible, robust, and efficient and, thus, are a key to future factories."
Lazy Compilation of Variants of Multi-robot Path Planning with Satisfiability Modulo Theory (SMT) Approach,P. Surynek,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8967962,NO,"SMT- CBS compiles MRPP lazily within the SMT framework, starting with the basic model that is refined with a collision resolution constraints whenever collisions between robots occur in the current solution. We introduce a general problem formulation that encompasses known types of robot relocation problems such as multi-robot path planning (MRPP), token swapping (TSWAP), token rotation (TROT), and token permutation (TPERM)."
A Distributed Range-Only Collision Avoidance Approach for Low-cost Large-scale Multi-Robot Systems,R. Han; S. Chen; Q. Hao,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341539,NO,(1) Developing a distributed collision-free navigation system for a large-scale robot group in which each robot performs motion planning based on the noisy range measurements of neighboring robots; (2) Developing a set of algorithms for each robot to accurately estimate the relative positions and orientations based on the range measurements and relative velocities; (3) Developing a velocity obstacle (VO) based motion planning algorithm for each robot which can take into account of the estimation uncertainties in relative positions and orientations. This paper presents a distributed motion planning framework for a large number of robots to navigate with robust collision avoidance using low-cost range only measurements.
Energy Autonomy for Resource-Constrained Multi Robot Missions,H. Fouad; G. Beltrame,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341455,NO,"In this work, we present an approach based on Control Barrier Functions (CBFs) to enforce both energy sufficiency (assuring that no robot runs out of battery) and coordination constraints (guaranteeing mutual exclusive use of an available charging station), all in a mission agnostic fashion. One of the key factors for extended autonomy and resilience of multi-robot systems, especially when robots operate on batteries, is their ability to maintain energy sufficiency by recharging when needed."
Multi-Robot Task Allocation with Time Window and Ordering Constraints,E. Suslova; P. Fazli,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341247,NO,"The results show that L-DCOP increases the task completion rate and task completion frequency by 1.7% and 10.1%, respectively, and reduces the task execution time by 52.5% on average. The proposed layered framework, called L-DCOP, forms efficient coalitions among robots to accomplish the tasks more efficiently as a result of their collective abilities."
Multi-Robot Assembly Sequencing via Discrete Optimization,P. Culbertson; S. Bandyopadhyay; M. Schwager,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8968246,NO,"However, while previous work on multi-robot assembly focuses on generating feasible assembly plans and decentralized control strategies, we instead study the problem of planning optimal assembly sequences.To this end, we pose the problem of multi-robot assembly as a discrete optimization, specifically an integer linear program (ILP) or quadratic program (IQP), which aims to minimize the time to complete the assembly, or to minimize the distance traveled. While the ILP and IQP can be solved exactly using commercial optimization software in a substantial amount of time, we also propose heuristic strategies which can be quickly computed, and can scale to structures of reasonable size."
Distributed Near-optimal Multi-robots Coordination in Heterogeneous Task Allocation,Q. Li; M. Li; B. Q. Vo; R. Kowalczyk,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341652,NO,"The concept of Nash equilibrium is applied to define a desired solution for the task allocation problem in which each robot can allocate itself to an appropriate task group. We also introduce a market-based distributed mechanism, called DisNE, to allow the robots to exchange messages with tasks and move between task groups, eventually reaching an equilibrium solution."
Conflict-Based Search for Multi-Robot Motion Planning with Kinodynamic Constraints,J. Kottinger; S. Almagor; M. Lahijanian,2022,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9982018,NO,"K-CBS plans for each robot individually using a low-level planner and grows a conflict tree to resolve collisions between robots by defining constraints. The low-level planner can be any sampling-based, tree-search algorithm for kinodynamic robots, thus lifting existing planners for single robots to the multi-robot setting."
MT*: Multi-Robot Path Planning for Temporal Logic Specifications,D. Gujarathi; I. Saha,2022,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9981504,NO,This approach involves computation of a product graph of the Büchi automaton generated from the LTL specification and a joint transition system that captures the collective motion of the robots and then computation of the shortest path using Di-jkstra's shortest path algorithm. Our approach demonstrates substantial speedup in terms of computation time over the state-of-the-art approach and scales well with both the number of robots and the size of the workspace.
Asynchronous Real-time Decentralized Multi-Robot Trajectory Planning,B. Şenbaşlar; G. S. Sukhatme,2022,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9981760,NO,"Our method can augment existing synchronized decentralized receding horizon planning algorithms that utilize separating hyperplanes for collision avoidance thereby making them applicable to asynchronous setups. Robots conservatively constrain themselves against others assuming they may be working with outdated information, and discard constraints when they receive update messages from others."
Trust But Verify: A Distributed Algorithm for Multi-Robot Wireframe Exploration and Mapping,A. Caccavale; M. Schwager,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8967932,NO,"The maps are not naively merged, but instead the receiving robot verifies the received information before it is assimilated by attempting to drive to the location where the other robot was when communication was established. We propose an exploration strategy based on the labeling of the vertices in the wireframe map, combined with a map-merging interrupt routine that is activated when robots enter into communication range with one another."
Distributed Direction of Arrival Estimation-Aided Cyberattack Detection in Networked Multi-Robot Systems,S. Lee; B. -C. Min,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594465,NO,"These locally stored residuals and thresholds are shared between robots via a wireless network, allowing a multi-robot system to complete its mission in the presence of one or more compromised agents. For each agent, a local estimator is designed to generate robust residuals, and a parametric statistical tool corresponding to the residuals is elaborated to build sensitive decision rules."
Approximate Distributed Spatiotemporal Topic Models for Multi-Robot Terrain Characterization,K. Doherty; G. Flaspohler; N. Roy; Y. Girdhar,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594442,NO,"We apply a combinatorial optimization procedure that combines local robot topic distributions into a globally consistent model based on topic similarity, which we find mitigates topic drift when compared to a baseline approach that matches topics naïvely, We evaluate our methods experimentally by demonstrating multi-robot underwater terrain characterization using simulated missions on real seabed imagery. These unsupervised models can endow robots with the ability to learn from their observations without human supervision, and then use the learned models for tasks such as autonomous exploration, adaptive sampling, or surveillance."
Path Planning Under MIMO Network Constraints for Throughput Enhancement in Multi-robot Data Aggregation Tasks,A. Pogue; S. Hanna; A. Nichols; X. Chen; D. Cabric; A. Mehta,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341096,NO,"We demonstrate the effectiveness of the approach- both in ideal as well as realistic channels outside the domain of our simplifying assumptions-with numerical examples of robot-coordinated path plans in two example environments, achieving up to 42% improvement in task completion times. Using geometrically motivated assumptions, we derive transmitter spacing rules that can be easily be added on to existing path plans to improve backhaul throughput for data offloading from the robot team, with minimal impact on other system objectives."
Long-Run Multi-Robot Planning under Uncertain Action Durations for Persistent Tasks,C. Azevedo; B. Lacerda; N. Hawes; P. Lima,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9340901,NO,"A GSPNR allows for unified modeling of action selection, uncertainty on the duration of action execution, and for goal specification through the use of transition rewards and rewards per time unit. We then build on a state-of-the-art method to compute the long-run average reward over MRAs, extending it to enable the extraction of the optimal policy."
DC-MRTA: Decentralized Multi-Robot Task Allocation and Navigation in Complex Environments,A. Agrawal; S. Hariharan; A. S. Bedi; D. Manocha,2022,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9981353,NO,"At the lower level, we use a decentralized navigation scheme based on ORCA that enables each robot to perform these tasks in an independent manner, and avoid collisions with other robots and dynamic obstacles. At the higher level, we solve the task allocation by formulating it in terms of Markov Decision Processes and choosing the appropriate rewards to minimize the Total Travel Delay (TTD)."
Self-Organized Adaptive Paths in Multi-Robot Manufacturing: Reconfigurable and Pattern-Independent Fibre Deployment,C. Eschke; M. K. Heinrich; M. Wahby; H. Haman,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8967951,NO,"Swarm construction furthermore exploits robot interactions and collaboration, such that the robot swarm collectively constructs artifacts beyond what a single comparable robot could achieve. The main challenges are the local coordination of the robot teams, self-organized task allocation, and the dynamic reconfiguration of the braiding scheme at runtime."
Data Driven Online Multi-Robot Formation Planning,E. A. Cappo; A. Desai; N. Michael,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9340775,NO,"Actions are selected using a heuristic based on their probability distribution exhibited in the demonstration, and we show that this approach is able to recreate coordinated motions exhibited in the demonstration when navigating in the obstructed conditions of the cluttered test environments. We formulate planning as a discrete search over demonstrated multi-robot actions, and select actions using a best-first approach to minimize edge expansions for fast online operation."
Centralizing State-Values in Dueling Networks for Multi-Robot Reinforcement Learning Mapless Navigation,E. Marchesini; A. Farinelli,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9636349,NO,"Our idea follows the insights of Dueling Networks as a separate estimation of the joint state-value has both the advantage of improving sample efficiency, while providing each robot information whether the global state is (or is not) valuable. In contrast, we propose a novel architecture for CTDE that uses a centralized state-value network to compute a joint state-value, which is used to inject global state information in the value-based updates of the agents."
Continuous-time Gaussian Process Trajectory Generation for Multi-robot Formation via Probabilistic Inference,S. Guo; B. Liu; S. Zhang; J. Guo; C. Wang,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9636573,NO,"A sparse Gaussian Process model is employed to represent the continuous-time trajectories of all robots as a limited number of states, which improves computational efficiency due to the sparsity. By introducing a global planner, our proposed method can generate trajectories efficiently for a team of robots which have to get through a width-varying area by adaptive formation change."
